STN,YYYYMMDD,TG,TN,TX
  270,19940101,   29,    9,   54
  270,19940102,   27,    5,   63
  270,19940103,   46,   14,   66
  270,19940104,   55,   41,   69
  270,19940105,   48,   26,   72
  270,19940106,   59,   32,   76
  270,19940107,   50,   42,   76
  270,19940108,   31,    9,   47
  270,19940109,   12,   -3,   31
  270,19940110,   21,   10,   41
  270,19940111,   32,   16,   54
  270,19940112,   77,   49,  110
  270,19940113,   81,   64,  100
  270,19940114,   63,   41,   72
  270,19940115,   47,   11,   64
  270,19940116,    5,  -27,   42
  270,19940117,  -16,  -61,   19
  270,19940118,   37,   -6,   55
  270,19940119,   36,    6,   62
  270,19940120,   30,  -15,   55
  270,19940121,   62,   51,   70
  270,19940122,   63,   36,   79
  270,19940123,   64,   41,   95
  270,19940124,   42,    1,   63
  270,19940125,   66,   15,   99
  270,19940126,   53,   29,   72
  270,19940127,   73,   39,   89
  270,19940128,   40,    9,   56
  270,19940129,   44,   21,   79
  270,19940130,   67,   49,   81
  270,19940131,   52,   37,   68
  270,19940201,   49,   43,   71
  270,19940202,   34,  -28,   59
  270,19940203,    6,  -44,   35
  270,19940204,   32,   19,   41
  270,19940205,   25,   16,   38
  270,19940206,   25,   13,   36
  270,19940207,   35,   14,   55
  270,19940208,   36,    4,   72
  270,19940209,   45,   13,   76
  270,19940210,   43,    2,   68
  270,19940211,   25,   -1,   36
  270,19940212,    1,  -17,   25
  270,19940213,  -36,  -74,   -8
  270,19940214,  -54,  -90,  -23
  270,19940215,  -22,  -63,   16
  270,19940216,   -8,  -41,   40
  270,19940217,  -25,  -82,   33
  270,19940218,  -32,  -86,   24
  270,19940219,  -43, -100,   12
  270,19940220,  -47,  -86,   -9
  270,19940221,  -46,  -97,  -14
  270,19940222,  -63, -125,  -20
  270,19940223,  -51, -152,   12
  270,19940224,  -18,  -32,   -8
  270,19940225,   -7,  -42,   13
  270,19940226,   46,   -1,   92
  270,19940227,   61,   40,   95
  270,19940228,   68,   42,   99
  270,19940301,   38,   11,   64
  270,19940302,   32,    9,   52
  270,19940303,   40,   11,   67
  270,19940304,   52,   22,   93
  270,19940305,   61,   24,   99
  270,19940306,   61,   36,   83
  270,19940307,   79,   62,  101
  270,19940308,   87,   76,  103
  270,19940309,   76,   54,   89
  270,19940310,   57,   17,   84
  270,19940311,   49,   17,   92
  270,19940312,   54,   38,   74
  270,19940313,   67,   48,   97
  270,19940314,   78,   49,  106
  270,19940315,   58,   44,   71
  270,19940316,   47,    8,   71
  270,19940317,   40,    7,   72
  270,19940318,   48,   24,   77
  270,19940319,   42,    7,   76
  270,19940320,   34,   -2,   65
  270,19940321,   29,  -16,   64
  270,19940322,   43,    3,   77
  270,19940323,   95,   76,  107
  270,19940324,   78,   61,  102
  270,19940325,   72,   45,   95
  270,19940326,   51,   27,   76
  270,19940327,   50,    7,   84
  270,19940328,   73,   37,   98
  270,19940329,   95,   54,  120
  270,19940330,  116,   49,  168
  270,19940331,  106,   73,  141
  270,19940401,   82,   50,  107
  270,19940402,   47,    8,   72
  270,19940403,   53,    2,   91
  270,19940404,   55,   30,   83
  270,19940405,   40,   16,   66
  270,19940406,   48,    5,   93
  270,19940407,   58,   11,   92
  270,19940408,   67,   43,   95
  270,19940409,   47,   28,   76
  270,19940410,   56,   24,   86
  270,19940411,   81,   54,  114
  270,19940412,   82,   46,  115
  270,19940413,   72,   52,   94
  270,19940414,   54,   43,   80
  270,19940415,   66,   50,   89
  270,19940416,   61,   42,   82
  270,19940417,   49,   26,   82
  270,19940418,   50,   -1,   87
  270,19940419,   54,   23,   90
  270,19940420,   85,   34,  130
  270,19940421,   75,   28,  128
  270,19940422,  113,   37,  169
  270,19940423,  143,   94,  221
  270,19940424,  133,   79,  206
  270,19940425,   97,   49,  138
  270,19940426,  101,   50,  138
  270,19940427,  123,  108,  140
  270,19940428,  125,   96,  161
  270,19940429,  141,   97,  199
  270,19940430,  112,   77,  146
  270,19940501,   67,   55,   86
  270,19940502,   70,   42,  110
  270,19940503,  130,   43,  186
  270,19940504,  116,   82,  150
  270,19940505,  102,   67,  138
  270,19940506,  107,   87,  137
  270,19940507,  154,  102,  191
  270,19940508,  114,   84,  157
  270,19940509,   91,   64,  118
  270,19940510,   95,   73,  117
  270,19940511,  142,   72,  212
  270,19940512,  153,  104,  217
  270,19940513,  142,   88,  197
  270,19940514,  162,  104,  217
  270,19940515,  129,   82,  155
  270,19940516,  108,   68,  134
  270,19940517,  101,   65,  118
  270,19940518,  104,   53,  134
  270,19940519,  116,   53,  151
  270,19940520,  118,   94,  159
  270,19940521,  122,  100,  160
  270,19940522,  130,  109,  166
  270,19940523,  121,  109,  140
  270,19940524,  120,   89,  154
  270,19940525,  121,   94,  154
  270,19940526,  104,   72,  123
