Title,Rating,Genre,Actors,Runtime
The Filthy Frank Show,1.,"Short, Comedy, Fantasy","George Miller, Zeeq, Artemis Holdenberry, Bloody Hairy",12 min
Game of Thrones,2.,"Adventure, Drama, Fantasy","Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey",56 min
Breaking Bad,3.,"Crime, Drama, Thriller","Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt",49 min
The Wire,4.,"Crime, Drama, Thriller","Dominic West, Lance Reddick, Sonja Sohn, Wendell Pierce",59 min
TVF Pitchers,5.,"Comedy, Drama","Naveen Kasturia, Arunabh Kumar, Jitendra Kumar, Aditya Roy Kapoor",40 min
Rick and Morty,6.,"Animation, Adventure, Comedy","Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke",22 min
Westworld,7.,"Drama, Sci-Fi, Western","Evan Rachel Wood, Thandie Newton, Jeffrey Wright, James Marsden",60 min
Sherlock,8.,"Crime, Drama, Mystery","Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves",88 min
The Sopranos,9.,"Crime, Drama","James Gandolfini, Lorraine Bracco, Edie Falco, Michael Imperioli",55 min
Avatar: The Last Airbender,10.,"Animation, Action, Adventure","Dee Bradley Baker, Zach Tyler, Mae Whitman, Jack De Sena",23 min
Leyla ile Mecnun,11.,"Adventure, Comedy, Drama","Ali Atay, Cengiz Bozkurt, Serkan Keskin, Osman Sonant",80 min
Sarabhai vs Sarabhai,12.,Comedy,"Satish Shah, Ratna Pathak, Sumeet Raghvan, Rupali Ganguly",30 min
True Detective,13.,"Crime, Drama, Mystery","Vince Vaughn, Colin Farrell, Rachel McAdams, Taylor Kitsch",55 min
Firefly,14.,"Adventure, Drama, Sci-Fi","Nathan Fillion, Gina Torres, Alan Tudyk, Morena Baccarin",44 min
One Punch Man: Wanpanman,15.,"Animation, Action, Comedy","Max Mittelman, Makoto Furukawa, Kaito Ishikawa, Zach Aguilar",24 min
Last Week Tonight with John Oliver,16.,"Comedy, News, Talk-Show","John Oliver, David Kaye, Noel MacNeal, Paul McGinnis",30 min
Hagane no renkinjutsushi,17.,"Animation, Action, Adventure","Kent Williams, Iemasa Kayumi, Vic Mignogna, Romi Pak",24 min
TVF Tripling,18.,Drama,"Sumeet Vyas, Maanvi Gagroo, Amol Parashar, Kunaal Roy Kapur",30 min
Stranger Things,19.,"Drama, Horror, Mystery","Dacre Montgomery, Winona Ryder, David Harbour, Finn Wolfhard",55 min
Friends,20.,"Comedy, Romance","Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc",22 min
House of Cards,21.,Drama,"Kevin Spacey, Michel Gill, Robin Wright, Kate Mara",51 min
Fargo,22.,"Crime, Drama, Thriller","Billy Bob Thornton, Martin Freeman, Allison Tolman, Colin Hanks",53 min
Arrested Development,23.,Comedy,"Jason Bateman, Michael Cera, Portia de Rossi, Will Arnett",22 min
The Twilight Zone,24.,"Fantasy, Horror, Mystery","Rod Serling, Robert McCord, Jay Overholts, Vaughn Taylor",51 min
Death Note: Desu nto,25.,"Animation, Crime, Drama","Mamoru Miyano, Brad Swaile, Vincent Tong, Ry Nait",24 min
Batman: The Animated Series,26.,"Animation, Action, Adventure","Kevin Conroy, Loren Lester, Efrem Zimbalist Jr., Bob Hastings",23 min
Kaubi bibappu,27.,"Animation, Action, Adventure","Kichi Yamadera, Unsh Ishizuka, Megumi Hayashibara, Steve Blum",24 min
Black Mirror,28.,"Drama, Sci-Fi, Thriller","Hannah John-Kamen, Chris Martin Hill, Beatrice Robertson-Jones, Paul Blackwell",60 min
Narcos,29.,"Biography, Crime, Drama","Wagner Moura, Boyd Holbrook, Pedro Pascal, Paulina Gaitan",49 min
Freaks and Geeks,30.,"Comedy, Drama","Linda Cardellini, John Francis Daley, James Franco, Samm Levine",44 min
Twin Peaks,31.,"Crime, Drama, Mystery","Kyle MacLachlan, Michael Ontkean, Mdchen Amick, Dana Ashbrook",47 min
Seinfeld,32.,Comedy,"Jerry Seinfeld, Julia Louis-Dreyfus, Michael Richards, Jason Alexander",22 min
Gravity Falls,33.,"Animation, Adventure, Comedy","Jason Ritter, Kristen Schaal, Alex Hirsch, Linda Cardellini",23 min
Only Fools and Horses....,34.,Comedy,"David Jason, Nicholas Lyndhurst, Roger Lloyd Pack, Buster Merryfield",95 min
